Mon Oct 04 10:52:19 2021 | SENSOR VALUE: false
Mon Oct 04 10:52:20 2021 | SENSOR VALUE: false
Mon Oct 04 10:52:21 2021 | SENSOR VALUE: true
Mon Oct 04 10:52:22 2021 | SENSOR VALUE: true
Mon Oct 04 10:52:23 2021 | SENSOR VALUE: false
Mon Oct 04 10:52:24 2021 | SENSOR VALUE: true
Mon Oct 04 11:17:41 2021 | SENSOR VALUE: false
Mon Oct 04 11:17:42 2021 | SENSOR VALUE: false
Mon Oct 04 11:17:43 2021 | SENSOR VALUE: false
Mon Oct 04 11:26:02 2021 | SENSOR VALUE: false
Mon Oct 04 11:26:03 2021 | SENSOR VALUE: false
Mon Oct 04 11:30:23 2021 | SENSOR VALUE: true
